id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00206,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60489897,-67.02776974,"https://www.google.com/maps/search/?api=1&query=10.60489897,-67.02776974"
ems_00207,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60508134,-67.02864849,"https://www.google.com/maps/search/?api=1&query=10.60508134,-67.02864849"
ems_00208,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60518757,-67.02719416,"https://www.google.com/maps/search/?api=1&query=10.60518757,-67.02719416"
ems_00209,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60525843,-67.02859992,"https://www.google.com/maps/search/?api=1&query=10.60525843,-67.02859992"
ems_00210,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60526094,-67.02619035,"https://www.google.com/maps/search/?api=1&query=10.60526094,-67.02619035"
ems_00211,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.60467616,-67.0305488,"https://www.google.com/maps/search/?api=1&query=10.60467616,-67.0305488"
ems_00212,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.6046898,-67.03230318,"https://www.google.com/maps/search/?api=1&query=10.6046898,-67.03230318"
ems_00213,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60471144,-67.03237095,"https://www.google.com/maps/search/?api=1&query=10.60471144,-67.03237095"
ems_00214,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.6047208,-67.03228252,"https://www.google.com/maps/search/?api=1&query=10.6047208,-67.03228252"
ems_00215,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60472465,-67.0300231,"https://www.google.com/maps/search/?api=1&query=10.60472465,-67.0300231"
ems_00216,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60474425,-67.0296219,"https://www.google.com/maps/search/?api=1&query=10.60474425,-67.0296219"
ems_00217,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60474927,-67.03047395,"https://www.google.com/maps/search/?api=1&query=10.60474927,-67.03047395"
ems_00218,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60476102,-67.03225788,"https://www.google.com/maps/search/?api=1&query=10.60476102,-67.03225788"
ems_00219,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60477165,-67.03195085,"https://www.google.com/maps/search/?api=1&query=10.60477165,-67.03195085"
ems_00220,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60478051,-67.03014279,"https://www.google.com/maps/search/?api=1&query=10.60478051,-67.03014279"
