id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00092,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.498829778947368,-68.17917188315789,"https://www.google.com/maps/search/?api=1&query=10.498829778947368,-68.17917188315789"
ems_00093,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.499306440714287,-68.18312345285715,"https://www.google.com/maps/search/?api=1&query=10.499306440714287,-68.18312345285715"
ems_00094,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.499712361111111,-68.18541656555556,"https://www.google.com/maps/search/?api=1&query=10.499712361111111,-68.18541656555556"
ems_00095,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.50012674111111,-68.1823390888889,"https://www.google.com/maps/search/?api=1&query=10.50012674111111,-68.1823390888889"
ems_00096,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.500466959999999,-68.18196301166667,"https://www.google.com/maps/search/?api=1&query=10.500466959999999,-68.18196301166667"
ems_00097,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.499414216976744,-68.17191397372093,"https://www.google.com/maps/search/?api=1&query=10.499414216976744,-68.17191397372093"
ems_00098,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.500136461764706,-68.17833062647058,"https://www.google.com/maps/search/?api=1&query=10.500136461764706,-68.17833062647058"
ems_00099,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.499927058292684,-68.17491238341464,"https://www.google.com/maps/search/?api=1&query=10.499927058292684,-68.17491238341464"
ems_00100,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.501320602972973,-68.17415826486487,"https://www.google.com/maps/search/?api=1&query=10.501320602972973,-68.17415826486487"
ems_00101,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.501609566976745,-68.17606268860465,"https://www.google.com/maps/search/?api=1&query=10.501609566976745,-68.17606268860465"
ems_00102,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.501303173913044,-68.17299259391304,"https://www.google.com/maps/search/?api=1&query=10.501303173913044,-68.17299259391304"
ems_00103,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.502033324285716,-68.1782196657143,"https://www.google.com/maps/search/?api=1&query=10.502033324285716,-68.1782196657143"
ems_00104,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.502110050714284,-68.1764621025,"https://www.google.com/maps/search/?api=1&query=10.502110050714284,-68.1764621025"
ems_00105,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.502585003333333,-68.17503994142857,"https://www.google.com/maps/search/?api=1&query=10.502585003333333,-68.17503994142857"
ems_00106,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.5027701975,-68.178634305,"https://www.google.com/maps/search/?api=1&query=10.5027701975,-68.178634305"
ems_00107,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.500470816818181,-68.18624010363637,"https://www.google.com/maps/search/?api=1&query=10.500470816818181,-68.18624010363637"
ems_00108,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.500925337083332,-68.18546422749999,"https://www.google.com/maps/search/?api=1&query=10.500925337083332,-68.18546422749999"
